itemNum,Name,StackSize,IsUntradable,PriceVendor,PriceSell,CanBeHq,LevelEquip,ave_cost,regSaleVelocity,ave_NQ_cost,nqSaleVelocity,ave_HQ_cost,hqSaleVelocity
INTEGER,TEXT,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,REAL,INTEGER,REAL,INTEGER,REAL
0,NULL,1,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
1,"""Gil""",999999999,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
2,"""Fire Shard""",9999,0,9,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
3,"""Ice Shard""",9999,0,9,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
4,"""Wind Shard""",9999,0,9,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
5,"""Earth Shard""",9999,0,9,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
6,"""Lightning Shard""",9999,0,9,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
7,"""Water Shard""",9999,0,9,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
8,"""Fire Crystal""",9999,0,229,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
9,"""Ice Crystal""",9999,0,229,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
10,"""Wind Crystal""",9999,0,229,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
11,"""Earth Crystal""",9999,0,229,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
12,"""Lightning Crystal""",9999,0,229,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
13,"""Water Crystal""",9999,0,229,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
14,"""Fire Cluster""",9999,0,990,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
15,"""Ice Cluster""",9999,0,990,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
16,"""Wind Cluster""",9999,0,990,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
17,"""Earth Cluster""",9999,0,990,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
18,"""Lightning Cluster""",9999,0,990,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
19,"""Water Cluster""",9999,0,990,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
20,"""Storm Seal""",200000,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
21,"""Serpent Seal""",200000,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
22,"""Flame Seal""",200000,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
23,"""Allagan Tomestone of Philosophy""",2000,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
24,"""Allagan Tomestone of Mythology""",2000,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
25,"""Wolf Mark""",20000,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
26,"""Allagan Tomestone of Soldiery""",2000,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
27,"""Allied Seal""",4000,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
28,"""Allagan Tomestone of Poetics""",2000,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
29,"""MGP""",9999999,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
30,"""Allagan Tomestone of Law""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
31,"""Allagan Tomestone of Esoterics""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
32,"""Allagan Tomestone of Lore""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
33,"""Allagan Tomestone of Scripture""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
34,"""Allagan Tomestone of Verity""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
35,"""Allagan Tomestone of Creation""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
36,"""Allagan Tomestone of Mendacity""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
37,"""Allagan Tomestone of Genesis""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
38,"""Allagan Tomestone of Goetia""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
39,"""Allagan Tomestone of Phantasmagoria""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
40,"""Allagan Tomestone of Allegory""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
41,"""Allagan Tomestone of Revelation""",2000,0,2,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
42,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
43,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
44,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
45,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
46,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
47,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
48,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
49,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
50,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
51,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
52,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
53,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
54,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
55,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
56,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
57,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
58,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
59,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
60,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
61,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
62,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
63,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
64,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
65,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
66,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
67,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
68,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
69,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
70,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
71,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
72,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
73,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
74,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
75,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
76,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
77,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
78,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
79,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
80,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
81,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
82,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
83,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
84,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
85,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
86,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
87,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
88,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
89,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
90,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
91,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
92,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
93,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
94,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
95,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
96,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
97,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
98,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
99,"""""",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
100,"""Dated Bronze Gladius""",1,1,174,2,1,6,NULL,NULL,NULL,NULL,NULL,NULL
