Number,CraftType,RecipeLevelTable,ItemResult,AmountResult,ItemIngredient0,AmountIngredient0,ItemIngredient1,AmountIngredient1,ItemIngredient2,AmountIngredient2,ItemIngredient3,AmountIngredient3,ItemIngredient4,AmountIngredient4,ItemIngredient5,AmountIngredient5,ItemIngredient6,AmountIngredient6,ItemIngredient7,AmountIngredient7,ItemIngredient8,AmountIngredient8,ItemIngredient9,AmountIngredient9,IsSecondary,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,RequiredCraftsmanship,RequiredControl,QuickSynthCraftsmanship,QuickSynthControl,SecretRecipeBook,Quest,CanQuickSynth,CanHq,ExpRewarded,StatusRequired,ItemRequired,IsSpecializationRequired,IsExpert,PatchNumber
INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10001,1,1,5056,1,5106,2,5107,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,0,50,50,100,67,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10002,1,1,2546,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10003,1,2,1602,1,5056,1,5361,1,5432,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10004,1,2,2355,1,5056,2,5275,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10005,1,3,5091,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1,0,0,50,50,100,67,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10006,1,3,1750,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10007,1,3,2380,1,5056,1,5091,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10009,1,4,2430,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10008,1,4,2315,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10011,1,5,2328,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10012,1,5,2341,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10013,1,5,2367,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10015,1,6,2507,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10014,1,6,2481,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10016,1,7,1603,1,5056,1,5275,1,5432,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10018,1,7,2392,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10017,1,7,1751,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10021,1,8,2520,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10020,1,8,2417,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10022,1,9,1752,1,1750,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,150,75,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10023,1,9,2329,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10026,1,10,2356,1,5056,2,5276,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10027,1,10,2381,1,5056,1,5091,1,4856,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10029,1,10,2482,1,5056,2,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10025,1,10,2342,1,5056,1,5324,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10028,1,10,2393,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
10032,1,11,2431,1,5056,1,5364,1,5483,1,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,50,100,100,100,0,0,0,0,0,0,1,1,1,0,0,0,0,0
